127.0.0.1, 2019-03-19 19:52:50, HEAD, /, HTTP/1.1, 303, 0.001916
127.0.0.1, 2019-03-19 19:52:51, HEAD, /welcome/default/index, HTTP/1.1, 200, 0.992537
127.0.0.1, 2019-03-19 19:52:54, GET, /, HTTP/1.1, 303, 0.001591
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.125510
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003224
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.005403
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.014921
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001441
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.021821
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.016434
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001278
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003257
127.0.0.1, 2019-03-19 19:52:54, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002273
127.0.0.1, 2019-03-19 19:52:59, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001307
127.0.0.1, 2019-03-19 19:53:00, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001720
127.0.0.1, 2019-03-19 19:53:20, GET, /admin/default/index, HTTP/1.1, 200, 1.144186
127.0.0.1, 2019-03-19 19:53:21, GET, /admin/static/_2.18.4/css/calendar.css, HTTP/1.1, 200, 0.007560
127.0.0.1, 2019-03-19 19:53:21, GET, /admin/static/_2.18.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.007537
127.0.0.1, 2019-03-19 19:53:21, GET, /admin/static/_2.18.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006739
127.0.0.1, 2019-03-19 19:53:21, GET, /admin/static/_2.18.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003545
127.0.0.1, 2019-03-19 19:53:21, GET, /admin/static/_2.18.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.019047
